"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-01-14","1","2.3","80","0.045","0.05","<1","<1","22","<1","910","0.2","15","4600","0.6","1","11584","5","<0.01","101","9.2","18000","null","0.7","<0.01","<50","<1","10","<1","4","2","1.8","0.084","0.7","0.12","7.9","1.1","7.8","12","<1","<0.02","3.3","<1","0.48","3","0.14","9700","1500","2.2","<2","17.6","30","13000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-02-08","1","1.4","<50","0.4","<0.05","<1","<1","22","<1","960","0.1","9","4700","2.3","2","11141","3","<0.01","101","9.9","600","null","0.7","<0.01","<50","<1","10","<1","4","3","2","0.15","<0.5","0.16","7.5","0.7","8.1","11","<1","<0.02","1.1","<1","0.72","2","0.17","10000","1700","1.2","<2","14.4","20","110"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-03-01","1","1.8","<50","0.22","0.07","<1","<1","20","<1","650","<0.1","9","3100","0.8","<1","8421","3","<0.01","102","9.5","10000","null","0.7","<0.01","<50","<1","20","<1","4","2","2.2","0.11","<0.5","0.15","8.1","0.6","5.6","13","<1","<0.02","1.6","<1","0.62","2","0.16","6800","1200","1.7","<2","17.3","20","6500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-04-10","1","1.3","210","0.093","0.07","<1","<1","20","<1","<50","0.2","8","18","1.9","3","307","8","<0.01","102","8.4","21000","null","1.4","<0.01","410","3","20","<1","11","1","3.2","0.14","<0.5","0.059","8.5","1.7","0.1","20","<1","<0.02","8.4","<1","0.76","4","0.09","210","42","10.1","2","25.1","40","2300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-05-11","1","0.9","120","0.052","<0.05","<1","<1","13","<1","<50","<0.1","5","14","1.6","<1","208","3","<0.01","99","8.1","7700","null","0.5","<0.01","110","<1","<10","<1","<2","<1","1.8","0.042","<0.5","0.076","8.2","1.8","0.1","18","<1","<0.02","2.4","<1","0.29","2","0.09","180","59","1.8","<2","25.5","20","3500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-06-14","1","0.4","270","0.042","0.07","<1","<1","12","<1","<50","<0.1","4","11","0.5","<1","186","3","<0.01","101","8.1","85000","null","0.7","<0.01","210","4","70","<1","4","<1","1.2","0.034","<0.5","0.058","8.6","<0.2","0.1","17","<1","<0.02","20","<1","0.56","2","0.08","160","41","27","<2","26.7","20","10000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-07-25","1","0.5","510","0.024","<0.05","<1","<1","14","<1","<50","0.2","25","26","<0.2","<1","205","4","<0.01","99","8.1","27000","null","0.4","<0.01","240","12","50","<1","3","<1","1.3","0.007","<0.5","0.037","7.9","0.4","0.1","11","<1","<0.02","65","<1","1.9","11","0.07","230","58","65.2","<2","26.1","30","3500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-08-08","1","1.2","230","0.052","0.06","<1","<1","14","<1","<50","<0.1","5","<10","1.8","<1","148","3","<0.01","101","7.8","55000","null","0.4","<0.01","320","1","10","<1","4","<1","0.53","0.022","<0.5","0.044","8.8","1.1","0.1","17","<1","<0.02","4.9","<1","0.22","2","0.06","110","43","5","<2","28.8","30","23000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-09-21","1","1.3","300","0.11","<0.05","<1","<1","14","<1","<50","<0.1","3","12","1.1","<1","179","2","<0.01","101","8.1","80000","null","0.6","<0.01","150","3","10","<1","3","<1","0.73","0.056","<0.5","0.069","8.5","<0.2","0.1","17","<1","<0.02","9.5","<1","0.38","1","0.08","130","29","14.4","<2","26.8","20","48000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2012-10-11","1","14","620","0.21","0.32","<1","1","35","<1","<50","0.4","31","320","0.4","4","1206","22","<0.01","103","8.6","150000","null","0.7","<0.01","450","13","30","<1","4","3","2.3","0.079","0.5","0.068","8.7","0.6","0.6","16","<1","<0.02","9.1","<1","1.8","13","0.25","790","80","23.2","4","24.6","100","27000"
